id,title,type,department,severity,status,affected_people,estimated_cost,complexity,department_load,created_at,description,latitude,longitude,location_name
C-1059,Unsafe Building Report Centaurus Mall,building_collapse,Building Safety,high,resolved,890,66500,low,11,2024-11-15T02:00Z,Residents evacuated due to settlement observed in Centaurus Mall apartments.,33.7099,73.0563,Centaurus Mall
C-1060,Fire Safety Breach I-10 Markaz,fire_hazard,Fire Department,medium,scheduled,1034,15900,medium,12,2024-11-08T12:00Z,"Fire suppression equipment offline at I-10 Markaz, evacuation drills pending.",33.6591,73.0245,I-10 Markaz
C-1061,Electrical Hazard Serena Chowk,electrical_hazard,Public Works,critical,scheduled,882,9300,high,12,2024-11-18T10:00Z,Substation overload detected near Serena Chowk; possible fire risk.,33.7221,73.0866,Serena Chowk
C-1062,Signal Failure F-10 Markaz,broken_traffic_light,Traffic,high,in_progress,1445,2200,high,14,2024-11-27T01:00Z,Blinking amber detected at major intersection near F-10 Markaz.,33.6973,73.0515,F-10 Markaz
C-1063,Waste Overflow Golra Railway Station,littering,Environment,low,in_progress,113,1200,low,20,2024-11-11T02:00Z,Animal scavenging noted at overflowing bins around Golra Railway Station.,33.6215,73.0718,Golra Railway Station
C-1064,Sanitation Backlog H-9 Markaz,littering,Environment,low,pending,279,900,low,21,2024-12-12T13:00Z,Garbage piles reported blocking access near H-9 Markaz market.,33.6588,73.0508,H-9 Markaz
C-1065,Fire Safety Breach F-9 Park,fire_hazard,Fire Department,high,pending,220,10200,high,28,2024-11-13T10:00Z,Fire alarm loop fault affecting shops around F-9 Park.,33.7020,73.0582,F-9 Park
C-1066,Dark Corridor Report Blue Area,lighting,Public Works,high,in_progress,522,4600,medium,16,2024-12-10T08:00Z,Entire lighting circuit down along lanes near Blue Area.,33.7173,73.0648,Blue Area
C-1067,Gas Pressure Drop E-7 Markaz,gas_leak,Public Works,critical,resolved,1027,9100,medium,16,2024-12-16T21:00Z,Residents report strong gas odor across E-7 Markaz with dizziness complaints.,33.6896,73.0908,E-7 Markaz
C-1068,Combustible Storage I-9 Markaz,fire_hazard,Fire Department,high,pending,407,18900,low,15,2024-12-13T13:00Z,Fire alarm loop fault affecting shops around I-9 Markaz.,33.6632,73.0617,I-9 Markaz
C-1069,Deep Pothole F-6 Park,pothole,Roads,high,scheduled,519,6300,medium,20,2024-11-27T19:00Z,Sensors detected void under asphalt near F-6 Park; repair crew required.,33.7156,73.0644,F-6 Park
C-1070,Stormwater Backup Blue Area,flooding,Roads,high,resolved,772,10400,high,23,2024-11-11T21:00Z,Storm drains clogged causing roadway flooding around Blue Area.,33.7173,73.0648,Blue Area
C-1071,Fire Safety Breach I-10 Markaz,fire_hazard,Fire Department,low,scheduled,819,20700,low,15,2024-12-13T17:00Z,Fire alarm loop fault affecting shops around I-10 Markaz.,33.6591,73.0245,I-10 Markaz
C-1072,Asset Defacement G-6 Hospital,graffiti,Parks,high,pending,163,1200,high,14,2024-12-08T21:00Z,Transit shelter panels near G-6 Hospital sprayed with paint.,33.7118,73.0867,G-6 Hospital
C-1073,Signal Failure F-9 Park,broken_traffic_light,Traffic,high,in_progress,834,2700,medium,24,2024-11-28T01:00Z,"Adaptive signal controller offline at F-9 Park, congestion growing.",33.7020,73.0582,F-9 Park
C-1074,Sound Level Breach F-7 Markaz,noise_complaint,Environment,critical,pending,339,1300,medium,8,2024-11-18T19:00Z,Amplified music from commercial strip near F-7 Markaz exceeding limits.,33.7213,73.0533,F-7 Markaz
C-1075,Gas Leak Alert I-11 Industrial,gas_leak,Public Works,critical,scheduled,1301,12900,high,11,2024-12-12T03:00Z,Residents report strong gas odor across I-11 Industrial with dizziness complaints.,33.6488,73.0079,I-11 Industrial
C-1076,Pavement Failure G-11 Markaz,pothole,Roads,high,in_progress,339,7700,high,10,2024-12-04T13:00Z,Large depression reported on fast lane approaching G-11 Markaz exit.,33.6654,73.0320,G-11 Markaz
C-1077,Wall Collapse Risk F-10,building_collapse,Building Safety,critical,resolved,1853,93300,medium,6,2024-12-20T05:00Z,Residents evacuated due to settlement observed in F-10 apartments.,33.6951,73.0498,F-10
C-1078,Urban Flooding Faisal Avenue,flooding,Roads,medium,in_progress,318,14500,high,16,2024-11-23T19:00Z,Rainwater ponding knee-deep reported near Faisal Avenue underpass.,33.7112,73.0581,Faisal Avenue
C-1079,Waste Overflow F-7 Park,littering,Environment,medium,pending,197,3200,medium,22,2024-11-24T10:00Z,Animal scavenging noted at overflowing bins around F-7 Park.,33.7230,73.0548,F-7 Park
C-1080,Sanitation Backlog F-8 Markaz,littering,Environment,low,pending,149,1700,low,13,2024-12-01T03:00Z,Animal scavenging noted at overflowing bins around F-8 Markaz.,33.7069,73.0642,F-8 Markaz
